,id,place_name,address_name,road_address_name,phone,category_group_name,category_name,place_url
0,1492599844,블루보틀 성수 카페,서울 성동구 성수동1가 656-302,서울 성동구 아차산로 7,1533-6906,카페,음식점 > 카페,http://place.map.kakao.com/1492599844
1,1301973155,할아버지공장,서울 성동구 성수동2가 309-133,서울 성동구 성수이로7가길 9,010-3934-2301,카페,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/1301973155
2,1783691580,쎈느,서울 성동구 성수동2가 314-2,서울 성동구 연무장5길 20,02-469-2122,카페,음식점 > 카페,http://place.map.kakao.com/1783691580
3,145791269,어니언컴퍼니,서울 성동구 성수동2가 277-135,서울 성동구 아차산로9길 8,02-1644-1941,카페,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/145791269
4,1128989913,대림창고,서울 성동구 성수동2가 322-32,서울 성동구 성수이로 78,02-499-9669,카페,음식점 > 카페 > 테마카페 > 갤러리카페,http://place.map.kakao.com/1128989913
5,286483883,센터커피 서울숲점,서울 성동구 성수동1가 685-478,서울 성동구 서울숲2길 28-11,070-8868-2008,카페,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/286483883
6,1460620031,인더매스 마장,서울 성동구 마장동 776-1,서울 성동구 마장로 270,,카페,음식점 > 카페,http://place.map.kakao.com/1460620031
7,547570065,옹근달,서울 성동구 성수동2가 333-52,서울 성동구 성수이로7길 41-1,02-499-5012,카페,음식점 > 카페,http://place.map.kakao.com/547570065
8,1842536906,멜로워 성수플래그쉽,서울 성동구 성수동2가 333-94,서울 성동구 성수이로7길 39,02-499-1112,카페,음식점 > 카페,http://place.map.kakao.com/1842536906
9,1302549042,로우키,서울 성동구 성수동2가 302-16,서울 성동구 연무장3길 6,,카페,음식점 > 카페,http://place.map.kakao.com/1302549042
10,1942841428,카페포제,서울 성동구 성수동2가 315-41,서울 성동구 연무장9길 7,070-8830-5994,카페,음식점 > 카페,http://place.map.kakao.com/1942841428
11,1038283810,마를리,서울 성동구 성수동2가 315-55,서울 성동구 연무장길 47,02-467-0303,카페,음식점 > 카페,http://place.map.kakao.com/1038283810
